epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,509.699,0.70423,2.65942,1.27277,0.57982,0.5406,0.56379,0.42857,0.78785,1.66175,1.41264,0.00333146,0.00333146,0.00333146
2,984.922,0.74671,1.97162,1.28898,0.61176,0.57315,0.59771,0.45786,0.7759,1.50983,1.36857,0.00659882,0.00659882,0.00659882
3,1454.49,0.82863,1.84679,1.33501,0.55574,0.57448,0.58007,0.44787,0.78094,1.57089,1.38029,0.00980017,0.00980017,0.00980017
1,507.224,0.70423,2.65942,1.27277,0.57982,0.5406,0.56379,0.42857,0.78785,1.66175,1.41264,0.00333146,0.00333146,0.00333146
2,975.527,0.74146,1.96779,1.28062,0.57241,0.5587,0.57613,0.44439,0.78613,1.59928,1.36313,0.00653283,0.00653283,0.00653283
3,1429.78,0.82262,1.84037,1.33065,0.5765,0.55061,0.57024,0.40568,0.94857,1.63697,1.61799,0.0096022,0.0096022,0.0096022
4,1884.61,0.85705,1.71965,1.35448,0.64741,0.64305,0.67074,0.52017,0.75608,1.29588,1.31311,0.009406,0.009406,0.009406
5,2334.89,0.80371,1.55842,1.3187,0.69577,0.65446,0.70899,0.57646,0.69832,1.19041,1.27083,0.009208,0.009208,0.009208
6,2787.71,0.75947,1.43008,1.28803,0.75237,0.66717,0.74608,0.61395,0.65824,1.07536,1.22884,0.00901,0.00901,0.00901
7,3239.53,0.73708,1.36175,1.27095,0.77127,0.69379,0.77638,0.65749,0.5987,0.96998,1.1657,0.008812,0.008812,0.008812
8,3669.24,0.71026,1.278,1.25255,0.76583,0.70203,0.77489,0.64677,0.61202,0.9616,1.1742,0.008614,0.008614,0.008614
9,4085.89,0.69484,1.23449,1.24225,0.80055,0.73073,0.81291,0.68797,0.57457,0.86663,1.14134,0.008416,0.008416,0.008416
10,4496.77,0.68608,1.18965,1.23929,0.75451,0.7313,0.79811,0.68929,0.54333,0.87661,1.1105,0.008218,0.008218,0.008218
11,4934.32,0.66398,1.1579,1.22513,0.798,0.73793,0.81967,0.70259,0.54995,0.86671,1.1207,0.00802,0.00802,0.00802
12,5368.54,0.65419,1.12992,1.22042,0.83239,0.74546,0.84157,0.72409,0.5461,0.77778,1.10831,0.007822,0.007822,0.007822
13,5808.99,0.64623,1.08101,1.21348,0.81206,0.77026,0.84485,0.73835,0.51699,0.76442,1.08707,0.007624,0.007624,0.007624
14,6228.36,0.63296,1.06371,1.20187,0.8255,0.77119,0.85218,0.741,0.51247,0.75048,1.09525,0.007426,0.007426,0.007426
15,6650,0.62127,1.0381,1.19292,0.82214,0.77161,0.85401,0.74337,0.51413,0.72873,1.08375,0.007228,0.007228,0.007228
